incident_id,title,description,severity,module,timestamp_opened,timestamp_resolved,root_cause,resolution_steps,troubleshooting_log_excerpt,issue_type,tags,related_docs,incident_category,module_owner,severity_weight,status
INC-10011,Notifications performance issue ERR_NOT_7668,Notifications queue lag spiked causing delayed emails and mobile push delivery.,P2,Notifications,2025-11-15T02:47:34Z,2025-11-16T14:47:34Z,"Consumer lag due to single-threaded worker and a sudden increase in backfill traffic.","[\"Scale notification workers horizontally\",\"Enable batch-processing for high-volume topics\",\"Process DLQ and monitor lag\",\"Implement backpressure on producers\",\"Document runbook for queue saturation (DOC-601)\"]","2025-11-15T02:47:34.189Z WARN ConsumerGroup lag=12000 messages topic=notifications.high-priority\n2025-11-15T02:47:35.004Z INFO Worker restarted (pid=442) due to OOM kill\n2025-11-15T02:50:01.110Z INFO DLQ drained 4k messages","performance","notifications,performance,queue","[\"DOC-600\",\"DOC-601\"]","queue-backlog","NotificationsOps",0.7,resolved
INC-10012,Payments bug issue ERR_PAY_4627,Intermittent double-charging detected for specific 3rd-party gateway path during retries.,P4,Payments,2025-09-14T11:57:34Z,2025-09-15T15:57:34Z,"Lack of idempotency handling when retrying on gateway timeouts.","[\"Add idempotency-key handling to payment endpoint\",\"Run reconciliation and refund duplicates\",\"Add gateway-specific retry policy\",\"Add integration test for retry semantics\",\"Document fix in DOC-200\"]","2025-09-14T11:57:34.189Z ERROR PaymentProcessor received duplicate callback txnId=txn-1122\n2025-09-14T11:57:35.004Z INFO Reconciler detected duplicate=2\n2025-09-14T11:58:01.100Z INFO Refund issued for duplicate txnId=txn-1122","bug","payments,bug,idempotency","[\"DOC-200\",\"DOC-201\"]","data-consistency","PaymentsOps",0.2,resolved
INC-10013,Search bug issue ERR_SEA_6864,Search returning 500 for specific query patterns; error originated from JSON parsing layer after special characters.,P4,Search,2025-09-27T13:37:34Z,2025-10-02T14:37:34Z,"Unescaped characters in user queries hit serializer causing runtime exception.","[\"Sanitize user input at edge\",\"Patch serializer to handle unicode escapes\",\"Add fuzz tests for edge-cases\",\"Deploy hotfix and monitor ERR rates\",\"Update docs for supported query characters\"]","2025-09-27T13:37:34.189Z ERROR JsonSerializer UnexpectedCharacterException at Serializer.java:47 input='\\uD83D'\n2025-09-27T13:37:34.400Z WARN EdgeProxy returned 400 for malformed request\n2025-09-27T13:40:12.101Z INFO Hotfix deployed search-service v1.9.2"],bug,"search,bug,serializer","[\"DOC-700\",\"DOC-702\"]","input-validation","SearchOps",0.2,resolved
INC-10014,Auth bug issue ERR_AUT_2495,Users intermittently cannot login; stack shows race in session creation under high concurrency.,P3,Auth,2025-07-09T19:46:34Z,2025-07-12T06:46:34Z,"Race condition in session-store leading to occasional session overwrite and authentication failure.","[\"Patch session-store to use optimistic locking\",\"Perform session data migration\",\"Add monitoring for auth-failure spikes\",\"Deploy change across all auth nodes\",\"Add session-concurrency tests\"]","2025-07-09T19:46:34.189Z ERROR SessionStore [req=usr-321] ConcurrentModificationException at SessionStore.java:221\n2025-07-09T19:46:35.004Z WARN AuthService loginFailCount++ user=usr-321\n2025-07-09T19:50:01.110Z INFO Migration script applied"],bug,"auth,bug,session","[\"DOC-100\",\"DOC-101\"]","race-condition","AuthOps",0.4,resolved
INC-10015,Catalog config issue ERR_CAT_1698,Catalog returning stale configuration causing incompatible feature flags between regions.,P2,Catalog,2025-10-15T20:57:34Z,2025-10-16T06:12:00Z,"Config propagation delay due to broken config-sync job.","[\"Restart config-sync job\",\"Manually propagate latest config to region B\",\"Add versioned config propagation\",\"Add test for config-sync failure\",\"Document rollout process (DOC-402)\"]","2025-10-15T20:57:34.189Z WARN ConfigSync last_applied_version=2025-10-14 region=B lag=95m\n2025-10-15T20:58:01.005Z INFO Manual propagate successful\n2025-10-15T21:05:05.101Z INFO ConfigSync job restarted"],config,"catalog,config,flags","[\"DOC-402\",\"DOC-400\"]","config-drift","CatalogOps",0.7,resolved
INC-10016,Inventory bug issue ERR_INV_2707,Inventory API occasionally returns negative stock for SKUs after concurrent adjustments.,P2,Inventory,2025-10-31T21:10:34Z,2025-11-01T02:20:05Z,"Missing transactional boundary around inventory decrement operations causing negative stock.","[\"Add DB transaction for inventory adjustments\",\"Add DB constraint to prevent negative stock\",\"Backfill and correct negative entries\",\"Add unit tests for concurrent updates\",\"Publish fix and monitor\"]","2025-10-31T21:10:34.189Z ERROR InventoryService Failed to apply delta sku=SKU-221 reason=partial-commit\n2025-10-31T21:10:35.004Z INFO Reconciler detected negative entries count=5\n2025-10-31T21:30:01.110Z INFO Backfill correction applied"],bug,"inventory,bug,tx","[\"DOC-500\",\"DOC-503\"]","data-consistency","InventoryOps",0.7,resolved
INC-10017,Orders bug issue ERR_ORD_3931,Orders API intermittently created duplicate orders when retrying on payment timeout, leading to double shipments.,P2,Orders,2025-07-18T00:23:34Z,2025-07-20T21:23:34Z,"Missing idempotency key handling in orders submit path during payment retry.","[\"Enforce idempotency header on orders-create\",\"Run reconciliation for duplicates\",\"Add compensating cancel for duplicate shipments\",\"Add integration tests for retried payments\",\"Update DOC-301 with new pattern\"]","2025-07-18T00:23:34.189Z ERROR OrdersService DuplicateOrderException orderRef=ord-777 attempt=2\n2025-07-18T00:23:35.003Z INFO Reconciler detected duplicates=3\n2025-07-18T00:25:01.101Z INFO Compensating cancellations issued"],bug,"orders,bug,idempotency","[\"DOC-301\",\"DOC-303\"]","data-consistency","OrdersOps",0.7,resolved
INC-10018,Auth performance issue ERR_AUT_7546,High auth p95 latency causing login slowness for certain regions correlated with token verification timeouts.,P2,Auth,2025-09-02T05:47:34Z,2025-09-10T00:47:34Z,"Remote token verification service had intermittent timeouts resulting in blocking auth flow.","[\"Add local cache for token verification\",\"Fallback to cached verification on timeout\",\"Increase token-verifier pool\",\"Instrument verifier with metrics\",\"Coordinate with verifier team for SLA improvements\"]","2025-09-02T05:47:34.189Z WARN TokenVerifier call timeout=5100ms endpoint=verifier.internal\n2025-09-02T05:47:35.004Z INFO Using cached verification result for user=usr-211\n2025-09-02T05:50:12.110Z INFO Token verifier team fixed transient DB restarts"],performance,"auth,performance,token","[\"DOC-100\",\"DOC-102\"]","dependency-failure","AuthOps",0.7,resolved
INC-10019,Catalog config issue ERR_CAT_9155,Config mismatch caused image proxy URLs to be rewritten incorrectly in production.,P4,Catalog,2025-07-08T03:12:34Z,2025-07-08T06:30:00Z,"Broken environment templating replaced hostnames incorrectly in image URLs.","[\"Fix templating variables in config artifact\",\"Backfill corrected image URLs\",\"Add config lint step in CI\",\"Add environment validation checks\",\"Document templating variables (DOC-400)\"]","2025-07-08T03:12:34.189Z ERROR TemplateEngine variable HOSTNAME unresolved-> replaced with 'null'\n2025-07-08T03:15:05.004Z INFO Backfill job corrected 3500 image URLs\n2025-07-08T03:30:01.101Z INFO CI lint added validation"],config,"catalog,config,templating","[\"DOC-400\"]","config-drift","CatalogOps",0.2,resolved
INC-10020,Orders config issue ERR_ORD_3049,Orders service experienced partial outages due to misapplied feature-toggle causing incompatible API schema.,P2,Orders,2025-09-13T01:53:34Z,2025-09-17T18:53:34Z,"Feature-toggle incorrectly rolled out without contract bump; older clients failed deserialization.","[\"Rollback feature-toggle\",\"Add contract compatibility checks\",\"Add versioned endpoints for transitional rollout\",\"Notify clients of enforced schema change\",\"Add pre-deploy contract tests\"]","2025-09-13T01:53:34.189Z ERROR OrdersDeserializer UnexpectedFieldException at OrdersDeserializer.java:67\n2025-09-13T01:54:05.004Z WARN Canary clients failing schema checks\n2025-09-13T02:05:01.101Z INFO Rollback completed"],config,"orders,config,feature-flag","[\"DOC-303\",\"DOC-304\"]","config-drift","OrdersOps",0.7,resolved
INC-10021,Auth infra issue ERR_AUT_7295,Auth nodes failed to join cluster after OS-level kernel patch applied, causing reduced capacity.,P2,Auth,2025-07-10T22:32:34Z,2025-07-17T02:32:34Z,"Kernel patch caused ephemeral network interface name changes; cluster membership failed.","[\"Revert kernel patch on affected nodes\",\"Standardize network interface naming in init scripts\",\"Rejoin auth nodes to cluster\",\"Add pre-patch checklist and canary\",\"Document post-patch validation steps\"]","2025-07-10T22:32:34.189Z ERROR ClusterManager NodeJoinFailed node=auth-3 reason=ifcfg mismatch\n2025-07-10T22:33:01.005Z INFO Rolling restart auth cluster\n2025-07-10T22:40:12.110Z INFO Node rejoined cluster"],infra,"auth,infra,cluster","[\"DOC-101\",\"DOC-102\"]","deployment-failure","AuthOps",0.7,resolved
INC-10022,Orders data issue ERR_ORD_3557,Orders reconciliation failed producing mismatched totals between microservices and ledger.,P4,Orders,2025-11-05T11:44:34Z,2025-11-10T03:44:34Z,"Ledger ingestion lag produced temporary mismatch during high-volume runs.","[\"Process ledger backlog\",\"Add watermarking to ingestion pipeline\",\"Add monitoring for ledger-lag\",\"Reconcile mismatched totals\",\"Add runbook entry in DOC-303\"]","2025-11-05T11:44:34.189Z WARN LedgerIngest lag=900s last_processed_id=9821\n2025-11-05T11:45:01.004Z INFO Backfill job started\n2025-11-05T12:20:01.110Z INFO Matched 98% of transactions"],data,"orders,data,ledger","[\"DOC-303\",\"DOC-305\"]","ingestion-lag","OrdersOps",0.2,resolved
INC-10023,Payments performance issue ERR_PAY_6699,Payments p95 increased due to synchronous calls to external billing partner during settlement, blocking main request path.,P3,Payments,2025-09-16T09:37:34Z,2025-09-16T11:20:00Z,"Synchronous partner call in hot path causing blocking; partner had intermittent slowness.","[\"Move partner call to async settlement queue\",\"Add timeout + circuit-breaker for partner call\",\"Add metrics around partner latency\",\"Retry with exponential backoff\",\"Add stubbed integration tests for partner behavior\"]","2025-09-16T09:37:34.189Z WARN ExternalBilling timeout=4500ms endpoint=billing.partner\n2025-09-16T09:37:35.003Z ERROR PaymentController blocked waiting partner response\n2025-09-16T09:40:01.101Z INFO Queued settlement async"],performance,"payments,performance,partner","[\"DOC-200\",\"DOC-201\"]","dependency-failure","PaymentsOps",0.4,resolved
INC-10024,Search bug issue ERR_SEA_2045,Search returned 503 for a subset of queries after partial node outage; logs show NPE in query routing.,P3,Search,2025-11-17T02:44:34Z,2025-11-22T01:44:34Z,"Query router didn't handle missing shard metadata after rolling upgrade causing NPE.","[\"Revert routing change\",\"Add guard for missing shard metadata\",\"Rebuild routing metadata from cluster state\",\"Add graceful degradation to 503 fallback\",\"Update DOC-700 with troubleshooting steps\"]","2025-11-17T02:44:34.189Z ERROR QueryRouter NullPointerException at QueryRouter.java:210\n2025-11-17T02:44:35.003Z WARN Rolling-restart detected inconsistent cluster-state\n2025-11-17T02:50:12.101Z INFO Metadata rebuilt from primary node"],bug,"search,bug,router","[\"DOC-700\",\"DOC-702\"]","service-failure","SearchOps",0.4,resolved
INC-10025,Orders performance issue ERR_ORD_6600,Orders service experiencing slow writes to order-store in peak; write latency causing UI timeouts.,P3,Orders,2025-08-06T22:46:34Z,2025-08-11T13:46:34Z,"Order-store hitting IO saturation due to large synchronous attachments being stored with orders.","[\"Offload attachments to object-store and store references\",\"Throttle concurrent writes\",\"Add write-ahead buffer\",\"Optimize underlying IO subsystem\",\"Add docs for attachment best-practices (DOC-303)\"]","2025-08-06T22:46:34.189Z WARN OrderStore fsync latency=230ms\n2025-08-06T22:47:01.005Z ERROR AttachmentService attempted large upload size=120MB\n2025-08-06T22:50:01.110Z INFO Moved attachments to object-store"],performance,"orders,performance,io","[\"DOC-303\",\"DOC-304\"]","io-pressure","OrdersOps",0.4,resolved
INC-10026,Shipping data issue ERR_SHI_2060,Shipping microservice produced incorrect address normalizations after a change in the address-canonicalizer library.,P2,Shipping,2025-10-12T08:22:34Z,2025-10-17T05:22:34Z,"Library upgrade introduced regression in address parsing rules leading to misrouted shipments.","[\"Pin address-canonicalizer to previous stable release\",\"Run bulk address normalization job\",\"Create compatibility tests for address formats\",\"Add canary tests for shipping changes\",\"Document normalization behavior in DOC-800\"]","2025-10-12T08:22:34.189Z ERROR AddressCanonicalizer UnexpectedToken at Parser.java:58 input='Flat 2B'\n2025-10-12T08:23:01.005Z INFO Re-run normalization fixed 320 addresses\n2025-10-12T09:30:12.110Z INFO Rolled back library upgrade"],data,"shipping,data,normalization","[\"DOC-800\",\"DOC-802\"]","regression","ShippingOps",0.7,resolved
INC-10027,Catalog performance issue ERR_CAT_9319,Catalog search facets slow due to joining across multiple microservices synchronously.,P2,Catalog,2025-07-04T15:43:34Z,2025-07-07T10:43:34Z,"Synchronous multi-service calls in facet aggregation causing request tail latency.","[\"Convert facet aggregation to async fan-out\",\"Cache aggregated facet results\",\"Introduce partial-response fallback\",\"Add timeouts to service calls\",\"Document recommended architecture (DOC-400)\"]","2025-07-04T15:43:34.189Z WARN FacetAggregator p95 latency 1800ms\n2025-07-04T15:44:35.004Z INFO Converted to async aggregator\n2025-07-04T15:50:01.101Z INFO Cache hit rate improved"],performance,"catalog,performance,aggregation","[\"DOC-400\",\"DOC-403\"]","architecture-flaw","CatalogOps",0.7,resolved
INC-10028,Orders config issue ERR_ORD_4009,Orders service failed to load new payment provider credentials due to mount permission changes.,P3,Orders,2025-08-20T02:32:34Z,2025-08-26T09:32:34Z,"Container filesystem permission changes prevented credentials mount; provider auth failed.","[\"Fix mount permissions in deployment manifest\",\"Rotate provider credentials\",\"Add validation in startup health-check\",\"Document mount policy in DOC-303\",\"Add CI check for mount permissions\"]","2025-08-20T02:32:34.189Z ERROR ContainerInit failed to load /secrets/payment-creds permission denied\n2025-08-20T02:32:35.003Z WARN ProviderAuth failed status=403\n2025-08-20T03:10:12.101Z INFO Permissions corrected and restart succeeded"],config,"orders,config,mounts","[\"DOC-303\"]","config-drift","OrdersOps",0.4,resolved
INC-10029,Shipping infra issue ERR_SHI_3806,Shipping worker nodes intermittently lose network connectivity to courier API causing failed shipments.,P3,Shipping,2025-11-22T15:42:34Z,2025-11-29T17:42:34Z,"Intermittent network partition between shipping cluster and courier gateway due to overloaded edge router.","[\"Failover to alternate egress via tunnel\",\"Engage infra to fix edge router\",\"Retry failed shipments from DLQ\",\"Add multi-region egress routing\",\"Document failover steps in DOC-801\"]","2025-11-22T15:42:34.189Z WARN Network egress latency spike node=ship-02 lat=450ms\n2025-11-22T15:42:35.003Z ERROR CourierAPI ConnectionRefused\n2025-11-22T15:50:12.101Z INFO Failover to tunnel established"],infra,"shipping,infra,network","[\"DOC-801\",\"DOC-802\"]","network-partition","ShippingOps",0.4,resolved
INC-10030,Inventory bug issue ERR_INV_7655,Inventory returned NPE in stock lookup leading to 500s for specific SKUs after metadata migration.,P1,Inventory,2025-09-15T05:48:34Z,2025-09-17T22:48:34Z,"Null pointer triggered by missing vendor metadata after schema migration.","[\"Backfill missing vendor metadata\",\"Add null-safety guards in lookup path\",\"Redeploy inventory-service\",\"Add migration validation checks\",\"Update DOC-502 with migration checklist\"]","2025-09-15T05:48:34.189Z ERROR InventoryLookup NullPointerException at InventoryLookup.java:77\n2025-09-15T05:48:35.004Z INFO Backfill script started\n2025-09-15T06:20:01.110Z INFO Backfill completed"],bug,"inventory,bug,migration","[\"DOC-502\",\"DOC-503\"]","schema-mismatch","InventoryOps",1.0,resolved
INC-10031,Search bug issue ERR_SEA_7293,Search service returned 503 during burst traffic; tracing shows thread starvation and blocked IO.,P1,Search,2025-08-06T04:02:34Z,2025-08-11T09:02:34Z,"Thread starvation from synchronous disk reads in hot path causing service unavailability.","[\"Restart search nodes\",\"Add async IO for disk reads\",\"Tune thread-pool and buffer sizes\",\"Move to faster storage for hot shards\",\"Add runbook for burst events\"]","2025-08-06T04:02:34.189Z ERROR SearchWorker ThreadPoolExecutor rejectedExecution at java.util.concurrent.ThreadPoolExecutor\n2025-08-06T04:02:35.003Z WARN DiskIO read latency=120ms for /data/index/seg-12\n2025-08-06T04:10:01.101Z INFO Storage tier moved hot shards to SSD"],bug,"search,bug,thread,io","[\"DOC-701\",\"DOC-702\"]","io-pressure","SearchOps",1.0,resolved
INC-10032,Payments infra issue ERR_PAY_4124,Payments service hit a certificate expiration causing failed TLS handshakes to external partners for a period.,P4,Payments,2025-11-15T16:20:34Z,2025-11-16T00:20:34Z,"Expired certificate on partner-facing endpoint causing TLS failures.","[\"Replace expired certificate\",\"Coordinate with partners for trust update\",\"Add cert expiry monitor and alerts\",\"Add automated cert rotation in CI/CD\",\"Update DOC-202 with cert rotation steps\"]","2025-11-15T16:20:34.189Z ERROR TLSHandshake PartnerTLSHandshakeException cert=expired CN=payments.internal\n2025-11-15T16:21:05.004Z INFO Deployed new cert\n2025-11-15T16:30:01.101Z INFO TLS handshakes restored"],infra,"payments,infra,cert","[\"DOC-202\",\"DOC-200\"]","ssl-misconfig","PaymentsOps",0.2,resolved
INC-10033,Notifications data issue ERR_NOT_2693,Notification templates returning invalid placeholders causing delivery failures to some channels.,P3,Notifications,2025-09-04T00:37:34Z,2025-09-08T10:37:34Z,"Template rendering error due to missing personalization keys in certain user profiles.","[\"Identify faulty templates and add safe defaults\",\"Patch templating engine to ignore missing keys\",\"Re-run deliveries for failed messages\",\"Add schema validation for templates\",\"Document template patterns in DOC-604\"]","2025-09-04T00:37:34.189Z ERROR TemplateEngine KeyError: 'first_name' in template notif-33\n2025-09-04T00:40:01.005Z INFO Fixed templates and requeued 142 messages\n2025-09-04T01:30:01.110Z INFO Delivery success rate resumed"],data,"notifications,data,template","[\"DOC-604\",\"DOC-603\"]","input-validation","NotificationsOps",0.4,resolved
INC-10034,Search config issue ERR_SEA_2150,Search node config drifted leading to inconsistent query analyzers across cluster and relevancy regressions.,P2,Search,2025-07-06T04:29:34Z,2025-07-06T07:00:00Z,"Config drift in analyzer settings after manual tuning on one node.","[\"Re-sync analyzer config across nodes\",\"Run analyzer A/B test to confirm parity\",\"Add config lint step\",\"Lock config via centralized store\",\"Update DOC-702 with analyzer doc\"]","2025-07-06T04:29:34.189Z WARN Analyzer mismatch node=search-1 analyzer=standard vs node=search-2 analyzer=custom\n2025-07-06T04:30:01.005Z INFO Re-synced configs from central store\n2025-07-06T05:00:01.101Z INFO Parity achieved"],config,"search,config,analyzer","[\"DOC-702\",\"DOC-701\"]","config-drift","SearchOps",0.7,resolved
INC-10035,Auth bug issue ERR_AUT_4343,Auth token renewal failing intermittently causing mid-session logout for some users.,P3,Auth,2025-10-31T01:36:34Z,2025-11-05T10:36:34Z,"Token renewal endpoint dropped requests under heavy load due to thread leak.","[\"Patch thread leak in token-renewer\",\"Restart token-renewer service\",\"Add circuit-breaker to token endpoint\",\"Add auto-scale policy for token-renewer\",\"Add DOC-101 runbook entry for token issues\"]","2025-10-31T01:36:34.189Z ERROR TokenRenewer thread leak detected active=78 leaked=12\n2025-10-31T01:36:35.004Z WARN OOM risk if not restarted\n2025-10-31T02:00:01.110Z INFO Restart and patch applied"],bug,"auth,bug,token","[\"DOC-101\",\"DOC-102\"]","memory-leak","AuthOps",0.4,resolved
