incident_id,title,description,severity,module,timestamp_opened,timestamp_resolved,resolution_summary,root_cause,troubleshooting_log_excerpt,issue_type,tags
INC-10010,Payments infra issue ERR_PAY_8721,Users reported issues in Payments. failure cache connection service service Error seen in logs: ERR_PAY_8721.,P2,Payments,2025-09-21 04:17:34,2025-09-24 22:17:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-21 04:17:34.189634] ERR_PAY_8721: Timeout at /api/payments/process,infra,"payments,infra"
INC-10011,Notifications performance issue ERR_NOT_7668,Users reported issues in Notifications. cache session failure db timeout Error seen in logs: ERR_NOT_7668.,P2,Notifications,2025-11-15 02:47:34,2025-11-16 14:47:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-15 02:47:34.189634] ERR_NOT_7668: Timeout at /api/notifications/process,performance,"notifications,performance"
INC-10012,Payments bug issue ERR_PAY_4627,Users reported issues in Payments. service session auth cache error Error seen in logs: ERR_PAY_4627.,P4,Payments,2025-09-14 11:57:34,2025-09-15 15:57:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-14 11:57:34.189634] ERR_PAY_4627: Timeout at /api/payments/process,bug,"payments,bug"
INC-10013,Search bug issue ERR_SEA_6864,Users reported issues in Search. failure cache db endpoint session Error seen in logs: ERR_SEA_6864.,P4,Search,2025-09-27 13:37:34,2025-10-02 14:37:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-27 13:37:34.189634] ERR_SEA_6864: Timeout at /api/search/process,bug,"search,bug"
INC-10014,Auth bug issue ERR_AUT_2495,Users reported issues in Auth. error service connection connection auth Error seen in logs: ERR_AUT_2495.,P3,Auth,2025-07-09 19:46:34,2025-07-12 06:46:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-09 19:46:34.189634] ERR_AUT_2495: Timeout at /api/auth/process,bug,"auth,bug"
INC-10015,Catalog config issue ERR_CAT_1698,Users reported issues in Catalog. connection timeout timeout db cache Error seen in logs: ERR_CAT_1698.,P2,Catalog,2025-10-15 20:57:34,,,Config drift in container setup.,[2025-10-15 20:57:34.189634] ERR_CAT_1698: Timeout at /api/catalog/process,config,"catalog,config"
INC-10016,Inventory bug issue ERR_INV_2707,Users reported issues in Inventory. auth db cache service cache Error seen in logs: ERR_INV_2707.,P2,Inventory,2025-10-31 21:10:34,,,Null pointer in microservice.,[2025-10-31 21:10:34.189634] ERR_INV_2707: Timeout at /api/inventory/process,bug,"inventory,bug"
INC-10017,Orders bug issue ERR_ORD_3931,Users reported issues in Orders. timeout db db session connection Error seen in logs: ERR_ORD_3931.,P2,Orders,2025-07-18 00:23:34,2025-07-20 21:23:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-18 00:23:34.189634] ERR_ORD_3931: Timeout at /api/orders/process,bug,"orders,bug"
INC-10018,Auth performance issue ERR_AUT_7546,Users reported issues in Auth. auth failure failure service cache Error seen in logs: ERR_AUT_7546.,P2,Auth,2025-09-02 05:47:34,2025-09-10 00:47:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-02 05:47:34.189634] ERR_AUT_7546: Timeout at /api/auth/process,performance,"auth,performance"
INC-10019,Catalog config issue ERR_CAT_9155,Users reported issues in Catalog. error error timeout cache auth Error seen in logs: ERR_CAT_9155.,P4,Catalog,2025-07-08 03:12:34,,,Config drift in container setup.,[2025-07-08 03:12:34.189634] ERR_CAT_9155: Timeout at /api/catalog/process,config,"catalog,config"
INC-10020,Orders config issue ERR_ORD_3049,Users reported issues in Orders. connection retry retry session cache Error seen in logs: ERR_ORD_3049.,P2,Orders,2025-09-13 01:53:34,2025-09-17 18:53:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-09-13 01:53:34.189634] ERR_ORD_3049: Timeout at /api/orders/process,config,"orders,config"
INC-10021,Auth infra issue ERR_AUT_7295,Users reported issues in Auth. db endpoint connection endpoint service Error seen in logs: ERR_AUT_7295.,P2,Auth,2025-07-10 22:32:34,2025-07-17 02:32:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-10 22:32:34.189634] ERR_AUT_7295: Timeout at /api/auth/process,infra,"auth,infra"
INC-10022,Orders data issue ERR_ORD_3557,Users reported issues in Orders. error failure error timeout timeout Error seen in logs: ERR_ORD_3557.,P4,Orders,2025-11-05 11:44:34,2025-11-10 03:44:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-05 11:44:34.189634] ERR_ORD_3557: Timeout at /api/orders/process,data,"orders,data"
INC-10023,Payments performance issue ERR_PAY_6699,Users reported issues in Payments. connection retry service endpoint endpoint Error seen in logs: ERR_PAY_6699.,P3,Payments,2025-09-16 09:37:34,,,Null pointer in microservice.,[2025-09-16 09:37:34.189634] ERR_PAY_6699: Timeout at /api/payments/process,performance,"payments,performance"
INC-10024,Search bug issue ERR_SEA_2045,Users reported issues in Search. db db failure db endpoint Error seen in logs: ERR_SEA_2045.,P3,Search,2025-11-17 02:44:34,2025-11-22 01:44:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-17 02:44:34.189634] ERR_SEA_2045: Timeout at /api/search/process,bug,"search,bug"
INC-10025,Orders performance issue ERR_ORD_6600,Users reported issues in Orders. retry failure service failure connection Error seen in logs: ERR_ORD_6600.,P3,Orders,2025-08-06 22:46:34,2025-08-11 13:46:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-08-06 22:46:34.189634] ERR_ORD_6600: Timeout at /api/orders/process,performance,"orders,performance"
INC-10026,Shipping data issue ERR_SHI_2060,Users reported issues in Shipping. endpoint connection retry failure connection Error seen in logs: ERR_SHI_2060.,P2,Shipping,2025-10-12 08:22:34,2025-10-17 05:22:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-10-12 08:22:34.189634] ERR_SHI_2060: Timeout at /api/shipping/process,data,"shipping,data"
INC-10027,Catalog performance issue ERR_CAT_9319,Users reported issues in Catalog. timeout error auth db auth Error seen in logs: ERR_CAT_9319.,P2,Catalog,2025-07-04 15:43:34,2025-07-07 10:43:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-04 15:43:34.189634] ERR_CAT_9319: Timeout at /api/catalog/process,performance,"catalog,performance"
INC-10028,Orders config issue ERR_ORD_4009,Users reported issues in Orders. session auth timeout auth connection Error seen in logs: ERR_ORD_4009.,P3,Orders,2025-08-20 02:32:34,2025-08-26 09:32:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-08-20 02:32:34.189634] ERR_ORD_4009: Timeout at /api/orders/process,config,"orders,config"
INC-10029,Shipping infra issue ERR_SHI_3806,Users reported issues in Shipping. auth failure timeout error endpoint Error seen in logs: ERR_SHI_3806.,P3,Shipping,2025-11-22 15:42:34,2025-11-29 17:42:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-22 15:42:34.189634] ERR_SHI_3806: Timeout at /api/shipping/process,infra,"shipping,infra"
INC-10030,Inventory bug issue ERR_INV_7655,Users reported issues in Inventory. failure cache timeout timeout cache Error seen in logs: ERR_INV_7655.,P1,Inventory,2025-09-15 05:48:34,2025-09-17 22:48:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-15 05:48:34.189634] ERR_INV_7655: Timeout at /api/inventory/process,bug,"inventory,bug"
INC-10031,Search bug issue ERR_SEA_7293,Users reported issues in Search. auth auth db connection service Error seen in logs: ERR_SEA_7293.,P1,Search,2025-08-06 04:02:34,2025-08-11 09:02:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-08-06 04:02:34.189634] ERR_SEA_7293: Timeout at /api/search/process,bug,"search,bug"
INC-10032,Payments infra issue ERR_PAY_4124,Users reported issues in Payments. retry cache service db service Error seen in logs: ERR_PAY_4124.,P4,Payments,2025-11-15 16:20:34,2025-11-16 00:20:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-15 16:20:34.189634] ERR_PAY_4124: Timeout at /api/payments/process,infra,"payments,infra"
INC-10033,Notifications data issue ERR_NOT_2693,Users reported issues in Notifications. failure connection endpoint failure auth Error seen in logs: ERR_NOT_2693.,P3,Notifications,2025-09-04 00:37:34,2025-09-08 10:37:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-04 00:37:34.189634] ERR_NOT_2693: Timeout at /api/notifications/process,data,"notifications,data"
INC-10034,Search config issue ERR_SEA_2150,Users reported issues in Search. error retry connection auth auth Error seen in logs: ERR_SEA_2150.,P2,Search,2025-07-06 04:29:34,,,Config drift in container setup.,[2025-07-06 04:29:34.189634] ERR_SEA_2150: Timeout at /api/search/process,config,"search,config"
INC-10035,Auth bug issue ERR_AUT_4343,Users reported issues in Auth. cache retry db cache failure Error seen in logs: ERR_AUT_4343.,P3,Auth,2025-10-31 01:36:34,2025-11-05 10:36:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-10-31 01:36:34.189634] ERR_AUT_4343: Timeout at /api/auth/process,bug,"auth,bug"
INC-10036,Catalog infra issue ERR_CAT_6188,Users reported issues in Catalog. connection service retry auth auth Error seen in logs: ERR_CAT_6188.,P3,Catalog,2025-10-08 15:57:34,,,Null pointer in microservice.,[2025-10-08 15:57:34.189634] ERR_CAT_6188: Timeout at /api/catalog/process,infra,"catalog,infra"
INC-10037,Shipping data issue ERR_SHI_6881,Users reported issues in Shipping. auth db retry service timeout Error seen in logs: ERR_SHI_6881.,P4,Shipping,2025-11-12 00:25:34,2025-11-16 05:25:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-12 00:25:34.189634] ERR_SHI_6881: Timeout at /api/shipping/process,data,"shipping,data"
INC-10038,Catalog config issue ERR_CAT_5611,Users reported issues in Catalog. endpoint cache timeout connection session Error seen in logs: ERR_CAT_5611.,P2,Catalog,2025-09-14 23:07:34,2025-09-15 00:07:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-09-14 23:07:34.189634] ERR_CAT_5611: Timeout at /api/catalog/process,config,"catalog,config"
INC-10039,Catalog config issue ERR_CAT_6052,Users reported issues in Catalog. failure session retry failure connection Error seen in logs: ERR_CAT_6052.,P3,Catalog,2025-07-08 16:59:34,2025-07-15 09:59:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-07-08 16:59:34.189634] ERR_CAT_6052: Timeout at /api/catalog/process,config,"catalog,config"
INC-10040,Auth infra issue ERR_AUT_6726,Users reported issues in Auth. timeout failure timeout failure cache Error seen in logs: ERR_AUT_6726.,P3,Auth,2025-10-13 20:37:34,,,Null pointer in microservice.,[2025-10-13 20:37:34.189634] ERR_AUT_6726: Timeout at /api/auth/process,infra,"auth,infra"
INC-10041,Auth performance issue ERR_AUT_9306,Users reported issues in Auth. error cache service auth retry Error seen in logs: ERR_AUT_9306.,P3,Auth,2025-09-17 23:46:34,2025-09-24 17:46:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-17 23:46:34.189634] ERR_AUT_9306: Timeout at /api/auth/process,performance,"auth,performance"
INC-10042,Payments performance issue ERR_PAY_8164,Users reported issues in Payments. error service auth retry error Error seen in logs: ERR_PAY_8164.,P3,Payments,2025-07-05 15:44:34,2025-07-06 12:44:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-05 15:44:34.189634] ERR_PAY_8164: Timeout at /api/payments/process,performance,"payments,performance"
INC-10043,Shipping bug issue ERR_SHI_7806,Users reported issues in Shipping. retry connection cache cache error Error seen in logs: ERR_SHI_7806.,P4,Shipping,2025-08-27 02:03:34,2025-08-31 02:03:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-08-27 02:03:34.189634] ERR_SHI_7806: Timeout at /api/shipping/process,bug,"shipping,bug"
INC-10044,Orders bug issue ERR_ORD_1728,Users reported issues in Orders. db session failure connection service Error seen in logs: ERR_ORD_1728.,P2,Orders,2025-09-15 02:49:34,2025-09-19 18:49:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-15 02:49:34.189634] ERR_ORD_1728: Timeout at /api/orders/process,bug,"orders,bug"
INC-10045,Catalog infra issue ERR_CAT_1717,Users reported issues in Catalog. service failure auth retry retry Error seen in logs: ERR_CAT_1717.,P4,Catalog,2025-10-25 02:12:34,2025-10-26 06:12:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-10-25 02:12:34.189634] ERR_CAT_1717: Timeout at /api/catalog/process,infra,"catalog,infra"
INC-10046,Orders data issue ERR_ORD_4636,Users reported issues in Orders. cache error cache retry auth Error seen in logs: ERR_ORD_4636.,P3,Orders,2025-10-07 04:03:34,,,Null pointer in microservice.,[2025-10-07 04:03:34.189634] ERR_ORD_4636: Timeout at /api/orders/process,data,"orders,data"
INC-10047,Payments config issue ERR_PAY_7801,Users reported issues in Payments. error auth auth connection db Error seen in logs: ERR_PAY_7801.,P1,Payments,2025-07-06 21:49:34,2025-07-10 00:49:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-07-06 21:49:34.189634] ERR_PAY_7801: Timeout at /api/payments/process,config,"payments,config"
INC-10048,Search config issue ERR_SEA_2540,Users reported issues in Search. retry db failure endpoint connection Error seen in logs: ERR_SEA_2540.,P3,Search,2025-11-12 02:09:34,2025-11-17 04:09:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-11-12 02:09:34.189634] ERR_SEA_2540: Timeout at /api/search/process,config,"search,config"
INC-10049,Notifications bug issue ERR_NOT_8419,Users reported issues in Notifications. failure db cache session auth Error seen in logs: ERR_NOT_8419.,P4,Notifications,2025-09-30 08:37:34,2025-10-03 06:37:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-30 08:37:34.189634] ERR_NOT_8419: Timeout at /api/notifications/process,bug,"notifications,bug"
INC-10050,Payments infra issue ERR_PAY_4709,Users reported issues in Payments. auth service endpoint error cache Error seen in logs: ERR_PAY_4709.,P2,Payments,2025-08-29 06:29:34,,,Null pointer in microservice.,[2025-08-29 06:29:34.189634] ERR_PAY_4709: Timeout at /api/payments/process,infra,"payments,infra"
INC-10051,Auth data issue ERR_AUT_8576,Users reported issues in Auth. endpoint connection db retry db Error seen in logs: ERR_AUT_8576.,P3,Auth,2025-08-12 05:10:34,2025-08-16 22:10:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-08-12 05:10:34.189634] ERR_AUT_8576: Timeout at /api/auth/process,data,"auth,data"
INC-10052,Payments performance issue ERR_PAY_6348,Users reported issues in Payments. service failure failure service error Error seen in logs: ERR_PAY_6348.,P1,Payments,2025-07-24 11:01:34,2025-07-27 19:01:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-24 11:01:34.189634] ERR_PAY_6348: Timeout at /api/payments/process,performance,"payments,performance"
INC-10053,Payments bug issue ERR_PAY_9053,Users reported issues in Payments. failure cache error session auth Error seen in logs: ERR_PAY_9053.,P2,Payments,2025-07-27 02:14:34,2025-07-27 03:14:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-27 02:14:34.189634] ERR_PAY_9053: Timeout at /api/payments/process,bug,"payments,bug"
INC-10054,Shipping data issue ERR_SHI_7819,Users reported issues in Shipping. auth endpoint auth timeout retry Error seen in logs: ERR_SHI_7819.,P1,Shipping,2025-07-17 01:20:34,2025-07-17 09:20:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-07-17 01:20:34.189634] ERR_SHI_7819: Timeout at /api/shipping/process,data,"shipping,data"
INC-10055,Auth infra issue ERR_AUT_6320,Users reported issues in Auth. connection retry service failure db Error seen in logs: ERR_AUT_6320.,P2,Auth,2025-11-01 11:58:34,,,Null pointer in microservice.,[2025-11-01 11:58:34.189634] ERR_AUT_6320: Timeout at /api/auth/process,infra,"auth,infra"
INC-10056,Payments performance issue ERR_PAY_3871,Users reported issues in Payments. timeout session retry cache endpoint Error seen in logs: ERR_PAY_3871.,P3,Payments,2025-08-04 19:51:34,2025-08-05 05:51:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-08-04 19:51:34.189634] ERR_PAY_3871: Timeout at /api/payments/process,performance,"payments,performance"
INC-10057,Auth config issue ERR_AUT_8449,Users reported issues in Auth. error db session session connection Error seen in logs: ERR_AUT_8449.,P3,Auth,2025-10-05 06:48:34,2025-10-05 17:48:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-10-05 06:48:34.189634] ERR_AUT_8449: Timeout at /api/auth/process,config,"auth,config"
INC-10058,Inventory bug issue ERR_INV_1404,Users reported issues in Inventory. cache db connection retry retry Error seen in logs: ERR_INV_1404.,P1,Inventory,2025-09-11 17:31:34,,,Null pointer in microservice.,[2025-09-11 17:31:34.189634] ERR_INV_1404: Timeout at /api/inventory/process,bug,"inventory,bug"
INC-10059,Notifications performance issue ERR_NOT_8245,Users reported issues in Notifications. error connection failure service connection Error seen in logs: ERR_NOT_8245.,P4,Notifications,2025-11-16 11:25:34,2025-11-19 22:25:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-16 11:25:34.189634] ERR_NOT_8245: Timeout at /api/notifications/process,performance,"notifications,performance"
INC-10060,Auth config issue ERR_AUT_1249,Users reported issues in Auth. timeout db db failure session Error seen in logs: ERR_AUT_1249.,P3,Auth,2025-07-25 13:08:34,2025-07-27 04:08:34,Restarted service and cleared cache.,Config drift in container setup.,[2025-07-25 13:08:34.189634] ERR_AUT_1249: Timeout at /api/auth/process,config,"auth,config"
INC-10061,Payments data issue ERR_PAY_5858,Users reported issues in Payments. error connection cache retry retry Error seen in logs: ERR_PAY_5858.,P4,Payments,2025-09-12 15:25:34,,,Null pointer in microservice.,[2025-09-12 15:25:34.189634] ERR_PAY_5858: Timeout at /api/payments/process,data,"payments,data"
INC-10062,Notifications infra issue ERR_NOT_7881,Users reported issues in Notifications. db timeout timeout timeout session Error seen in logs: ERR_NOT_7881.,P3,Notifications,2025-08-10 17:35:34,,,Null pointer in microservice.,[2025-08-10 17:35:34.189634] ERR_NOT_7881: Timeout at /api/notifications/process,infra,"notifications,infra"
INC-10063,Orders data issue ERR_ORD_6115,Users reported issues in Orders. cache auth failure connection retry Error seen in logs: ERR_ORD_6115.,P4,Orders,2025-09-04 00:17:34,2025-09-07 07:17:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-04 00:17:34.189634] ERR_ORD_6115: Timeout at /api/orders/process,data,"orders,data"
INC-10064,Inventory bug issue ERR_INV_5164,Users reported issues in Inventory. timeout db retry timeout session Error seen in logs: ERR_INV_5164.,P2,Inventory,2025-07-14 06:44:34,,,Null pointer in microservice.,[2025-07-14 06:44:34.189634] ERR_INV_5164: Timeout at /api/inventory/process,bug,"inventory,bug"
INC-10065,Orders infra issue ERR_ORD_8350,Users reported issues in Orders. session db endpoint service endpoint Error seen in logs: ERR_ORD_8350.,P2,Orders,2025-10-03 18:47:34,,,Null pointer in microservice.,[2025-10-03 18:47:34.189634] ERR_ORD_8350: Timeout at /api/orders/process,infra,"orders,infra"
INC-10066,Catalog infra issue ERR_CAT_1671,Users reported issues in Catalog. timeout auth failure failure retry Error seen in logs: ERR_CAT_1671.,P2,Catalog,2025-11-26 15:20:34,2025-11-30 12:20:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-26 15:20:34.189634] ERR_CAT_1671: Timeout at /api/catalog/process,infra,"catalog,infra"
INC-10067,Inventory config issue ERR_INV_7981,Users reported issues in Inventory. connection retry error auth timeout Error seen in logs: ERR_INV_7981.,P2,Inventory,2025-07-25 21:09:34,,,Config drift in container setup.,[2025-07-25 21:09:34.189634] ERR_INV_7981: Timeout at /api/inventory/process,config,"inventory,config"
INC-10068,Auth performance issue ERR_AUT_7190,Users reported issues in Auth. error db endpoint session connection Error seen in logs: ERR_AUT_7190.,P3,Auth,2025-11-25 06:11:34,,,Null pointer in microservice.,[2025-11-25 06:11:34.189634] ERR_AUT_7190: Timeout at /api/auth/process,performance,"auth,performance"
INC-10069,Payments bug issue ERR_PAY_1302,Users reported issues in Payments. endpoint db auth cache endpoint Error seen in logs: ERR_PAY_1302.,P4,Payments,2025-11-23 19:07:34,,,Null pointer in microservice.,[2025-11-23 19:07:34.189634] ERR_PAY_1302: Timeout at /api/payments/process,bug,"payments,bug"
INC-10070,Payments infra issue ERR_PAY_3797,Users reported issues in Payments. session timeout auth db failure Error seen in logs: ERR_PAY_3797.,P3,Payments,2025-10-02 23:59:34,2025-10-09 06:59:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-10-02 23:59:34.189634] ERR_PAY_3797: Timeout at /api/payments/process,infra,"payments,infra"
INC-10071,Orders bug issue ERR_ORD_2976,Users reported issues in Orders. connection cache db auth error Error seen in logs: ERR_ORD_2976.,P2,Orders,2025-10-26 04:31:34,2025-10-27 19:31:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-10-26 04:31:34.189634] ERR_ORD_2976: Timeout at /api/orders/process,bug,"orders,bug"
INC-10072,Auth bug issue ERR_AUT_7371,Users reported issues in Auth. db timeout endpoint endpoint connection Error seen in logs: ERR_AUT_7371.,P2,Auth,2025-09-13 11:40:34,2025-09-18 00:40:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-13 11:40:34.189634] ERR_AUT_7371: Timeout at /api/auth/process,bug,"auth,bug"
INC-10073,Catalog bug issue ERR_CAT_2761,Users reported issues in Catalog. session endpoint session db retry Error seen in logs: ERR_CAT_2761.,P2,Catalog,2025-11-10 02:37:34,2025-11-11 04:37:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-11-10 02:37:34.189634] ERR_CAT_2761: Timeout at /api/catalog/process,bug,"catalog,bug"
INC-10074,Auth performance issue ERR_AUT_7986,Users reported issues in Auth. endpoint cache error cache failure Error seen in logs: ERR_AUT_7986.,P2,Auth,2025-09-19 06:22:34,2025-09-23 22:22:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-09-19 06:22:34.189634] ERR_AUT_7986: Timeout at /api/auth/process,performance,"auth,performance"
INC-10075,Orders performance issue ERR_ORD_8489,Users reported issues in Orders. service session service db db Error seen in logs: ERR_ORD_8489.,P1,Orders,2025-08-22 10:04:34,2025-08-22 16:04:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-08-22 10:04:34.189634] ERR_ORD_8489: Timeout at /api/orders/process,performance,"orders,performance"
INC-10076,Auth infra issue ERR_AUT_7316,Users reported issues in Auth. retry db auth db service Error seen in logs: ERR_AUT_7316.,P3,Auth,2025-08-06 12:42:34,2025-08-12 04:42:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-08-06 12:42:34.189634] ERR_AUT_7316: Timeout at /api/auth/process,infra,"auth,infra"
INC-10077,Orders data issue ERR_ORD_7233,Users reported issues in Orders. db retry session service session Error seen in logs: ERR_ORD_7233.,P2,Orders,2025-10-25 02:49:34,2025-10-25 03:49:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-10-25 02:49:34.189634] ERR_ORD_7233: Timeout at /api/orders/process,data,"orders,data"
INC-10078,Orders config issue ERR_ORD_7038,Users reported issues in Orders. auth timeout endpoint timeout service Error seen in logs: ERR_ORD_7038.,P1,Orders,2025-11-09 16:16:34,,,Config drift in container setup.,[2025-11-09 16:16:34.189634] ERR_ORD_7038: Timeout at /api/orders/process,config,"orders,config"
INC-10079,Auth bug issue ERR_AUT_4490,Users reported issues in Auth. connection retry timeout retry endpoint Error seen in logs: ERR_AUT_4490.,P2,Auth,2025-10-12 18:49:34,,,Null pointer in microservice.,[2025-10-12 18:49:34.189634] ERR_AUT_4490: Timeout at /api/auth/process,bug,"auth,bug"
INC-10080,Orders data issue ERR_ORD_6415,Users reported issues in Orders. db endpoint session error retry Error seen in logs: ERR_ORD_6415.,P4,Orders,2025-08-20 14:19:34,,,Null pointer in microservice.,[2025-08-20 14:19:34.189634] ERR_ORD_6415: Timeout at /api/orders/process,data,"orders,data"
INC-10081,Notifications infra issue ERR_NOT_3898,Users reported issues in Notifications. session auth service error auth Error seen in logs: ERR_NOT_3898.,P3,Notifications,2025-08-29 15:41:34,,,Null pointer in microservice.,[2025-08-29 15:41:34.189634] ERR_NOT_3898: Timeout at /api/notifications/process,infra,"notifications,infra"
INC-10082,Auth infra issue ERR_AUT_5670,Users reported issues in Auth. connection error connection connection cache Error seen in logs: ERR_AUT_5670.,P3,Auth,2025-08-20 08:21:34,2025-08-21 07:21:34,Restarted service and cleared cache.,Null pointer in microservice.,[2025-08-20 08:21:34.189634] ERR_AUT_5670: Timeout at /api/auth/process,infra,"auth,infra"
