article_id,views,success_rating,feedback_text,last_viewed
KB-1106,335,2.94,Very helpful,2025-11-26
KB-1107,422,2.52,Very helpful,2025-08-31
KB-1108,275,3.84,Very helpful,2025-10-08
KB-1109,569,2.02,Outdated steps,2025-10-29
KB-1110,34,2.15,Resolved partially,2025-10-14
KB-1111,77,4.81,Resolved partially,2025-09-06
KB-1112,429,4.18,Resolved partially,2025-10-27
KB-1113,271,4.93,Very helpful,2025-11-01
KB-1114,63,2.98,Needs update,2025-09-04
KB-1115,136,4.42,Needs update,2025-11-24
KB-1116,388,4.17,Very helpful,2025-11-11
KB-1117,52,3.91,Very helpful,2025-09-05
KB-1118,502,2.27,Very helpful,2025-11-05
KB-1119,120,4.22,Very helpful,2025-09-26
